time_us,envelope_normalized,real,imag,doppler_hz,model
0.0,1.476427070237913,0.055231817113370996,0.38962849660172477,41.666666666666664,rayleigh
1.1291585127201567,1.6365902399260268,0.04643782795732221,0.43373441815575026,41.666666666666664,rayleigh
2.2583170254403133,1.5539046512485306,0.02050429245319957,0.4136665717180045,41.666666666666664,rayleigh
3.38747553816047,1.7891027914556312,0.020420622354233104,0.4764262061133741,41.666666666666664,rayleigh
4.516634050880627,2.192059956313958,-0.10839816096690036,0.5741234594416273,41.666666666666664,rayleigh
5.645792563600784,2.1861587352297964,-0.18269086755866934,0.5533140547107296,41.666666666666664,rayleigh
6.77495107632094,2.2990818132154365,-0.19684494288098184,0.58031590189344,41.666666666666664,rayleigh
7.904109589041097,2.3740038856479573,-0.18473170950892828,0.6051957169293759,41.666666666666664,rayleigh
9.033268101761253,2.397139739195516,-0.19449448485371762,0.6086062255780483,41.666666666666664,rayleigh
10.162426614481411,2.697689526003981,-0.2473041561708151,0.675169618239799,41.666666666666664,rayleigh
11.291585127201568,2.851304449856607,-0.2758317651437645,0.7081577197175228,41.666666666666664,rayleigh
12.420743639921723,3.217276504797654,-0.31991592271006236,0.7956159050708734,41.666666666666664,rayleigh
13.54990215264188,3.1580477395299593,-0.4427416327215369,0.7158944796612406,41.666666666666664,rayleigh
14.679060665362037,3.2526244305812604,-0.5122263242637719,0.6994442732403607,41.666666666666664,rayleigh
15.808219178082194,3.01318813368441,-0.48240938871003,0.642103533674254,41.666666666666664,rayleigh
16.93737769080235,3.2799175897346937,-0.5938855129460023,0.6415329416595941,41.666666666666664,rayleigh
18.066536203522507,3.0870995611850764,-0.5695954285878702,0.5938084672235351,41.666666666666664,rayleigh
19.195694716242663,3.321657286589409,-0.6491152494672686,0.6020710027781829,41.666666666666664,rayleigh
20.324853228962823,3.22366904130221,-0.6647582760587927,0.5444009553131554,41.666666666666664,rayleigh
21.45401174168298,3.085501490706913,-0.6610832011710478,0.48919900726117777,41.666666666666664,rayleigh
22.583170254403136,2.5725139497569365,-0.6473501227932116,0.2260186496339969,41.666666666666664,rayleigh
23.71232876712329,2.4043307968511614,-0.571837173987223,0.2892832820994294,41.666666666666664,rayleigh
24.841487279843445,2.362047180068666,-0.5137338255121451,0.3639261690607912,41.666666666666664,rayleigh
25.970645792563605,2.18376056868812,-0.3930166349250849,0.42933181900246503,41.666666666666664,rayleigh
27.09980430528376,2.0648084237404563,-0.4022687686835923,0.37558561559454606,41.666666666666664,rayleigh
28.228962818003918,1.4156926305150688,-0.3112895304717325,0.21326287404871158,41.666666666666664,rayleigh
29.358121330724074,1.1598794306146882,-0.22212379273997823,0.21502522891065087,41.666666666666664,rayleigh
30.48727984344423,0.7078547246070596,-0.10811547375285527,0.1546203298775818,41.666666666666664,rayleigh
31.616438356164387,0.8043144591364436,-0.11885659802075037,0.17841525964582722,41.666666666666664,rayleigh
32.74559686888454,0.9148962661471031,-0.12021830391611704,0.21216167398069702,41.666666666666664,rayleigh
33.8747553816047,0.8767729745713878,-0.09829562919717087,0.21201528246176654,41.666666666666664,rayleigh
35.00391389432486,0.7442341400982888,-0.12077894158428976,0.15735865788883102,41.666666666666664,rayleigh
36.13307240704501,0.7133755532532059,-0.1521394858979929,0.11405000678626367,41.666666666666664,rayleigh
37.26223091976517,0.5272754244938929,0.13037126239695324,0.0524833969937757,41.666666666666664,rayleigh
38.391389432485326,0.5327005994273057,0.13408485255607142,0.04670073644114002,41.666666666666664,rayleigh
39.520547945205486,0.6230288267657411,0.11269868352653135,0.1219638775554168,41.666666666666664,rayleigh
40.649706457925646,0.6134123274956285,0.13296375142427863,0.09514257845257221,41.666666666666664,rayleigh
41.7788649706458,0.6056504888391313,0.1534771008683611,0.05004031800437004,41.666666666666664,rayleigh
42.90802348336596,0.5947815463289502,0.15573861973400507,0.029627947660541356,41.666666666666664,rayleigh
44.03718199608611,0.41259118241876636,0.09944114112984297,0.04695868854645399,41.666666666666664,rayleigh
45.16634050880627,0.5537698279921064,0.07984594669896453,0.12413931805150408,41.666666666666664,rayleigh
46.295499021526425,1.0586252970683085,0.09626498309698119,0.2652346552496096,41.666666666666664,rayleigh
47.42465753424658,0.45103012265010833,0.02683120471319468,0.11718412407337153,41.666666666666664,rayleigh
48.55381604696674,0.06964555021618304,-0.012586871605800675,0.013644126185179174,41.666666666666664,rayleigh
49.68297455968689,0.09779017958860972,-0.021949906035362024,0.014056126219982139,41.666666666666664,rayleigh
50.81213307240705,0.2536574090094789,-0.058888840941205535,0.03321328763610507,41.666666666666664,rayleigh
